EXTERNAL/TSAI:  VERSION OF 8/8/96

                                                                        
                                                                        
                                                                        
Stein deuterium                                                         
from Dunne 8/01                                                         

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  2);   avgA =   2.000; amuM=  2.013; avgM=  1.875
 targ=   TUNA; ttarg(rl)=0.00533; twall=0.00143; tbeam=0.00143; tspec=0.00761
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

 Deut Elastic Model: ia,iamec,rsc,rscmec (1,2,3,4)=  3
 TJON DEUT ELASTIC FILESS TO BE OPEN=rscctj.tjon_input   rscqtj.tjon_input   rscmtj.tjon_input   
   6.600 19.882  0.96   19.45   23.76   22.20    1.92   47.87  0.945
   1.217  0.095 10.02   23.73   26.96   25.53    2.10   54.59 3.689E+01

   7.700 13.440  1.00    8.81   18.96    8.65    0.53   28.14  0.940
   2.371  0.100  9.88   10.47   21.38    9.92    0.55   31.85 8.556E+01

   8.800 10.381  1.00    5.74   16.54    5.29    0.28   22.11  0.944
   3.471  0.100  9.88    6.74   18.60    6.08    0.29   24.96 1.538E+02

  11.000  7.259  1.00    3.45   13.56    3.06    0.13   16.75  0.955
   5.671  0.100  9.88    4.03   15.10    3.55    0.13   18.77 3.507E+02

   5.500 22.104  1.00   13.63   18.43   14.74    0.83   34.00  0.934
   1.237  0.125  7.88   16.48   20.55   16.93    0.90   38.38 3.773E+01

   6.600 14.629  1.00    6.70   14.87    6.40    0.27   21.53  0.939
   2.337  0.125  7.88    7.92   16.46    7.35    0.28   24.08 9.430E+01

   7.700 11.155  1.00    4.44   12.71    4.04    0.14   16.90  0.948
   3.437  0.125  7.88    5.20   13.95    4.67    0.14   18.75 1.752E+02

   8.800  9.077  1.00    3.38   11.16    3.03    0.09   14.29  0.955
   4.537  0.125  7.88    3.96   12.11    3.52    0.09   15.72 2.818E+02

  11.000  6.660  1.00    2.43    8.92    2.18    0.05   11.15  0.966
   6.737  0.125  7.88    2.86    9.39    2.56    0.05   12.01 5.738E+02

   4.400 30.015  1.00   16.11   16.83   18.29    0.95   36.07  0.925
   0.847  0.150  6.55   19.67   18.54   21.09    1.07   40.70 2.436E+01

   6.600 12.802  1.00    4.09   10.29    3.75    0.09   14.14  0.950
   3.047  0.150  6.55    4.81   10.96    4.33    0.10   15.39 1.618E+02

   8.800  8.439  1.00    2.53    7.38    2.31    0.04    9.74  0.965
   5.247  0.150  6.55    3.01    7.45    2.71    0.04   10.21 4.214E+02

  11.000  6.334  1.00    2.03    5.42    1.86    0.02    7.30  0.973
   7.447  0.150  6.55    2.41    5.03    2.21    0.02    7.27 8.090E+02

   4.400 23.633  1.00    7.94   11.64    8.00    0.23   19.86  0.931
   1.355  0.175  5.59    9.47   12.40    9.20    0.24   21.84 4.899E+01

   5.500 15.641  1.00    4.30    8.78    3.99    0.08   12.85  0.947
   2.455  0.175  5.59    5.05    9.05    4.61    0.08   13.74 1.242E+02

   6.600 11.850  1.00    3.08    6.91    2.82    0.04    9.77  0.961
   3.555  0.175  5.59    3.62    6.81    3.28    0.04   10.14 2.347E+02

   8.800  8.058  1.00    2.19    4.34    2.01    0.02    6.37  0.974
   5.755  0.175  5.59    2.60    3.66    2.39    0.02    6.07 5.658E+02

  11.000  6.128  1.00    1.85    2.53    1.73    0.01    4.27  0.980
   7.955  0.175  5.59    2.22    1.40    2.08    0.01    3.49 1.047E+03

   5.500 31.379  1.50   15.44   18.84   17.26    0.58   36.68  0.918
   0.932  0.175  7.95   18.74   20.50   19.70    0.64   40.84 1.161E+01

   6.600 19.251  1.50    5.79   13.42    5.45    0.14   19.01  0.939
   2.032  0.175  7.95    6.79   14.27    6.21    0.14   20.63 3.335E+01

   7.700 14.326  1.50    3.37   10.72    2.97    0.07   13.76  0.956
   3.132  0.175  7.95    3.90   11.15    3.39    0.07   14.61 6.501E+01

   8.800 11.518  1.50    2.37    8.94    2.04    0.04   11.02  0.967
   4.232  0.175  7.95    2.73    9.06    2.33    0.04   11.44 1.072E+02

  11.000  8.350  1.50    1.54    6.49    1.32    0.02    7.83  0.978
   6.432  0.175  7.95    1.77    6.13    1.53    0.02    7.68 2.246E+02

   5.500 14.548  1.00    3.35    5.77    3.09    0.04    8.91  0.959
   2.836  0.200  4.88    3.94    5.35    3.60    0.04    9.00 1.718E+02

   6.600 11.260  1.00    2.61    4.11    2.40    0.02    6.54  0.968
   3.936  0.200  4.88    3.08    3.33    2.83    0.02    6.18 3.087E+02

   7.700  9.211  1.00    2.24    2.80    2.08    0.01    4.90  0.976
   5.036  0.200  4.88    2.66    1.72    2.47    0.02    4.20 4.873E+02

   8.800  7.804  1.00    2.02    1.73    1.89    0.01    3.63  0.982
   6.136  0.200  4.88    2.42    0.38    2.26    0.01    2.66 7.077E+02

  11.000  5.986  1.00    1.78    0.01    1.69    0.01    1.71  0.987
   8.336  0.200  4.88    2.15   -1.76    2.05    0.01    0.30 1.277E+03

   5.500 32.782  1.70   13.20   17.23   14.47    0.35   32.05  0.919
   0.970  0.200  7.68   15.92   18.45   16.46    0.38   35.29 9.381E+00

   6.600 20.315  1.70    4.88   11.87    4.51    0.09   16.47  0.946
   2.070  0.200  7.68    5.70   12.31    5.13    0.09   17.53 2.637E+01

   7.700 15.164  1.70    2.82    9.21    2.44    0.05   11.70  0.964
   3.170  0.200  7.68    3.25    9.23    2.78    0.05   12.06 5.103E+01

   8.800 12.209  1.70    1.97    7.45    1.67    0.03    9.15  0.973
   4.270  0.200  7.68    2.26    7.17    1.90    0.03    9.10 8.386E+01

  11.000  8.864  1.70    1.27    5.03    1.07    0.01    6.12  0.980
   6.470  0.200  7.68    1.46    4.27    1.23    0.01    5.52 1.749E+02

   4.400 26.657  1.28    6.29    9.38    6.19    0.10   15.66  0.932
   1.368  0.225  5.29    7.45    9.43    7.07    0.10   16.60 2.980E+01

   5.500 17.663  1.28    3.28    6.38    2.99    0.04    9.41  0.957
   2.468  0.225  5.29    3.82    5.92    3.44    0.04    9.40 7.503E+01

   6.600 13.388  1.28    2.30    4.47    2.07    0.02    6.56  0.970
   3.568  0.225  5.29    2.68    3.64    2.40    0.02    6.06 1.413E+02

   8.800  9.108  1.28    1.60    1.88    1.46    0.01    3.35  0.984
   5.768  0.225  5.29    1.88    0.47    1.72    0.01    2.20 3.399E+02

  11.000  6.928  1.28    1.33    0.06    1.25    0.01    1.31  0.990
   7.968  0.225  5.29    1.59   -1.77    1.49    0.01   -0.28 6.281E+02

   5.500 34.180  1.90   11.47   15.73   12.31    0.22   28.26  0.919
   1.000  0.225  7.42   13.77   16.55   13.96    0.24   30.75 7.619E+00

   6.600 21.337  1.90    4.18   10.45    3.80    0.06   14.30  0.951
   2.100  0.225  7.42    4.86   10.51    4.30    0.06   14.88 2.107E+01

   7.700 15.962  1.90    2.40    7.84    2.04    0.03    9.91  0.968
   3.200  0.225  7.42    2.75    7.49    2.31    0.03    9.84 4.054E+01

   8.800 12.866  1.90    1.67    6.12    1.38    0.02    7.52  0.976
   4.300  0.225  7.42    1.91    5.46    1.58    0.02    7.06 6.642E+01

  11.000  9.350  1.90    1.07    3.71    0.89    0.01    4.61  0.982
   6.500  0.225  7.43    1.22    2.59    1.02    0.01    3.63 1.382E+02

   4.400 30.878  1.50    6.80    9.55    6.81    0.09   16.45  0.929
   1.203  0.250  5.38    8.07    9.45    7.75    0.09   17.30 1.714E+01

   5.500 19.817  1.50    3.14    6.09    2.85    0.03    8.97  0.959
   2.303  0.250  5.38    3.64    5.43    3.26    0.03    8.72 4.584E+01

   6.600 14.849  1.50    2.08    4.03    1.84    0.02    5.88  0.972
   3.403  0.250  5.38    2.41    2.99    2.12    0.02    5.13 8.849E+01

   8.800 10.007  1.50    1.36    1.32    1.22    0.01    2.54  0.987
   5.603  0.250  5.38    1.59   -0.29    1.43    0.01    1.15 2.177E+02

  11.000  7.580  1.50    1.10   -0.55    1.01    0.00    0.47  0.992
   7.803  0.250  5.38    1.30   -2.58    1.20    0.00   -1.37 4.070E+02

   5.500 38.105  2.15   11.97   15.54   13.00    0.18   28.73  0.916
   0.917  0.250  7.33   14.38   16.17   14.75    0.20   31.11 5.131E+00

   6.600 23.183  2.15    3.94    9.68    3.55    0.04   13.27  0.956
   2.017  0.250  7.33    4.57    9.47    4.01    0.05   13.53 1.483E+01

   7.700 17.213  2.15    2.17    6.95    1.81    0.02    8.77  0.970
   3.117  0.250  7.33    2.48    6.31    2.05    0.02    8.38 2.895E+01

   8.800 13.824  2.15    1.48    5.16    1.19    0.01    6.37  0.977
   4.217  0.250  7.33    1.68    4.22    1.36    0.01    5.59 4.777E+01

  11.000 10.012  2.15    0.92    2.74    0.74    0.01    3.48  0.980
   6.417  0.250  7.33    1.04    1.33    0.85    0.01    2.19 1.001E+02

   4.400 27.643  1.50    4.67    6.61    4.46    0.04   11.11  0.943
   1.493  0.275  4.84    5.48    5.94    5.09    0.04   11.07 2.372E+01

   5.500 18.663  1.50    2.53    3.78    2.29    0.02    6.08  0.969
   2.593  0.275  4.84    2.94    2.62    2.63    0.02    5.26 5.731E+01

   6.600 14.250  1.50    1.81    1.93    1.63    0.01    3.57  0.981
   3.693  0.275  4.84    2.11    0.41    1.89    0.01    2.31 1.060E+02

   8.800  9.756  1.50    1.29   -0.60    1.18    0.00    0.58  0.992
   5.893  0.275  4.84    1.51   -2.67    1.39    0.00   -1.28 2.505E+02

  11.000  7.442  1.50    1.09   -2.38    1.02    0.00   -1.36  0.996
   8.093  0.275  4.84    1.29   -4.86    1.21    0.00   -3.65 4.589E+02

   5.500 36.914  2.30    9.04   13.04    9.43    0.10   22.56  0.927
   1.043  0.275  6.94   10.75   13.17   10.66    0.10   23.93 5.097E+00

   6.600 23.264  2.30    3.21    7.94    2.81    0.03   10.78  0.962
   2.143  0.275  6.94    3.69    7.35    3.18    0.03   10.56 1.377E+01

   7.700 17.456  2.30    1.82    5.43    1.49    0.01    6.93  0.974
   3.243  0.275  6.94    2.07    4.44    1.69    0.01    6.14 2.628E+01

   8.800 14.091  2.30    1.26    3.74    1.01    0.01    4.75  0.979
   4.343  0.275  6.94    1.43    2.46    1.14    0.01    3.61 4.287E+01

  11.000 10.256  2.30    0.80    1.39    0.64    0.00    2.04  0.980
   6.543  0.275  6.94    0.91   -0.34    0.74    0.00    0.40 8.875E+01

   4.400 25.606  1.50    3.64    4.43    3.40    0.02    7.86  0.957
   1.736  0.300  4.38    4.24    3.32    3.89    0.02    7.23 2.988E+01

   5.500 17.841  1.50    2.21    1.95    2.01    0.01    3.97  0.978
   2.836  0.300  4.38    2.57    0.38    2.32    0.01    2.71 6.759E+01

   6.600 13.802  1.50    1.68    0.24    1.54    0.01    1.78  0.989
   3.936  0.300  4.38    1.97   -1.69    1.79    0.01    0.11 1.212E+02

   8.800  9.561  1.50    1.27   -2.18    1.19    0.00   -0.98  0.998
   6.136  0.300  4.38    1.51   -4.64    1.41    0.00   -3.22 2.776E+02

  11.000  7.333  1.50    1.11   -3.89    1.06    0.00   -2.83  1.002
   8.336  0.300  4.38    1.33   -6.75    1.27    0.00   -5.48 5.005E+02

   4.400 37.875  1.90    7.31    9.12    7.47    0.06   16.65  0.928
   1.025  0.300  5.31    8.67    8.65    8.48    0.07   17.20 7.745E+00

   5.500 23.261  1.90    2.83    4.95    2.53    0.02    7.50  0.965
   2.125  0.300  5.31    3.26    3.86    2.88    0.02    6.75 2.238E+01

   6.600 17.183  1.90    1.74    2.70    1.50    0.01    4.21  0.978
   3.225  0.300  5.31    2.00    1.21    1.72    0.01    2.94 4.444E+01

   7.700 13.718  1.90    1.29    1.11    1.11    0.01    2.23  0.983
   4.325  0.300  5.31    1.49   -0.69    1.28    0.01    0.60 7.431E+01

   8.800 11.449  1.90    1.06   -0.14    0.92    0.00    0.78  0.987
   5.425  0.300  5.31    1.22   -2.19    1.07    0.00   -1.12 1.122E+02

  11.000  8.632  1.90    0.83   -2.05    0.74    0.00   -1.31  0.991
   7.625  0.300  5.31    0.97   -4.52    0.87    0.00   -3.65 2.122E+02

   6.600 34.796  3.00    6.89   12.35    6.76    0.05   19.16  0.941
   1.271  0.300  7.88    8.08   12.18    7.60    0.06   19.84 3.443E+00

   7.700 23.388  3.00    2.61    7.52    2.12    0.02    9.66  0.967
   2.371  0.300  7.88    2.97    6.69    2.38    0.02    9.09 8.100E+00

   8.800 18.030  3.00    1.48    5.06    1.10    0.01    6.17  0.973
   3.471  0.300  7.88    1.66    3.86    1.24    0.01    5.10 1.452E+01

  11.000 12.590  3.00    0.76    2.14    0.53    0.01    2.68  0.970
