                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    6.6000   1.2170  19.8820  0.36888E+02  0.54547E+02  0.70683E+00  0.45652E+02  0.57025E+02  0.77342E+00  0.46832E+02
    7.7000   2.3710  13.4400  0.85561E+02  0.10963E+03  0.45199E+00  0.10178E+03  0.11281E+03  0.46764E+00  0.10385E+03
    8.8000   3.4710  10.3810  0.15381E+03  0.18782E+03  0.43508E+00  0.17925E+03  0.19221E+03  0.44264E+00  0.18241E+03
   11.0000   5.6710   7.2590  0.35074E+03  0.40948E+03  0.44699E+00  0.39830E+03  0.41658E+03  0.44927E+00  0.40370E+03
    5.5000   1.2370  22.1040  0.37734E+02  0.50562E+02  0.31204E+00  0.44687E+02  0.52218E+02  0.33825E+00  0.45490E+02
    6.6000   2.3370  14.6290  0.94303E+02  0.11461E+03  0.25210E+00  0.10832E+03  0.11701E+03  0.26000E+00  0.10982E+03
    7.7000   3.4370  11.1550  0.17524E+03  0.20484E+03  0.24731E+00  0.19751E+03  0.20810E+03  0.25128E+00  0.19968E+03
    8.8000   4.5370   9.0770  0.28176E+03  0.32201E+03  0.25174E+00  0.31321E+03  0.32605E+03  0.25397E+00  0.31588E+03
   11.0000   6.7370   6.6600  0.57383E+03  0.63781E+03  0.26503E+00  0.62502E+03  0.64271E+03  0.26552E+00  0.62773E+03
    4.4000   0.8470  30.0150  0.24360E+02  0.33147E+02  0.23118E+00  0.28459E+02  0.34273E+02  0.25958E+00  0.28876E+02
    6.6000   3.0470  12.8020  0.16182E+03  0.18470E+03  0.15139E+00  0.17848E+03  0.18673E+03  0.15436E+00  0.17956E+03
    8.8000   5.2470   8.4390  0.42145E+03  0.46248E+03  0.15944E+00  0.45257E+03  0.46446E+03  0.16055E+00  0.45286E+03
   11.0000   7.4470   6.3340  0.80903E+03  0.86811E+03  0.16962E+00  0.85288E+03  0.86783E+03  0.17019E+00  0.84975E+03
    4.4000   1.3550  23.6330  0.48986E+02  0.58715E+02  0.11039E+00  0.54687E+02  0.59684E+02  0.11783E+00  0.55060E+02
    5.5000   2.4550  15.6410  0.12421E+03  0.14016E+03  0.98069E-01  0.13511E+03  0.14128E+03  0.10087E+00  0.13545E+03
    6.6000   3.5550  11.8500  0.23465E+03  0.25758E+03  0.99502E-01  0.25087E+03  0.25844E+03  0.10115E+00  0.25064E+03
    8.8000   5.7550   8.0580  0.56584E+03  0.60190E+03  0.10731E+00  0.59040E+03  0.60018E+03  0.10830E+00  0.58656E+03
   11.0000   7.9550   6.1280  0.10471E+04  0.10917E+04  0.11594E+00  0.10735E+04  0.10836E+04  0.11711E+00  0.10618E+04
    5.5000   0.9320  31.3790  0.11608E+02  0.15866E+02  0.67598E-01  0.13795E+02  0.16348E+02  0.73932E-01  0.13987E+02
    6.6000   2.0320  19.2510  0.33353E+02  0.39693E+02  0.47198E-01  0.37828E+02  0.40232E+02  0.48286E-01  0.38113E+02
    7.7000   3.1320  14.3260  0.65012E+02  0.73960E+02  0.46116E-01  0.71983E+02  0.74513E+02  0.46519E-01  0.72263E+02
    8.8000   4.2320  11.5180  0.10722E+03  0.11904E+03  0.47250E-01  0.11681E+03  0.11949E+03  0.47401E-01  0.11694E+03
   11.0000   6.4320   8.3500  0.22461E+03  0.24219E+03  0.50067E-01  0.23918E+03  0.24186E+03  0.49897E-01  0.23838E+03
    5.5000   2.8360  14.5480  0.17185E+03  0.18715E+03  0.66840E-01  0.18177E+03  0.18731E+03  0.68547E-01  0.18105E+03
    6.6000   3.9360  11.2600  0.30872E+03  0.32890E+03  0.69469E-01  0.32141E+03  0.32781E+03  0.70721E-01  0.31900E+03
    7.7000   5.0360   9.2110  0.48726E+03  0.51111E+03  0.72863E-01  0.50093E+03  0.50775E+03  0.73988E-01  0.49565E+03
    8.8000   6.1360   7.8040  0.70767E+03  0.73335E+03  0.76577E-01  0.71989E+03  0.72648E+03  0.77827E-01  0.71038E+03
   11.0000   8.3360   5.9860  0.12769E+04  0.12987E+04  0.84342E-01  0.12770E+04  0.12807E+04  0.86180E-01  0.12544E+04
    5.5000   0.9700  32.7820  0.93813E+01  0.12388E+02  0.32899E-01  0.10998E+02  0.12692E+02  0.35603E-01  0.11112E+02
    6.6000   2.0700  20.3150  0.26372E+02  0.30716E+02  0.23885E-01  0.29501E+02  0.30994E+02  0.24336E-01  0.29617E+02
    7.7000   3.1700  15.1640  0.51026E+02  0.56997E+02  0.23657E-01  0.55728E+02  0.57180E+02  0.23829E-01  0.55737E+02
    8.8000   4.2700  12.2090  0.83856E+02  0.91528E+02  0.24325E-01  0.90107E+02  0.91485E+02  0.24368E-01  0.89865E+02
   11.0000   6.4700   8.8640  0.17492E+03  0.18562E+03  0.25785E-01  0.18372E+03  0.18458E+03  0.25660E-01  0.18239E+03
    4.4000   1.3680  26.6570  0.29800E+02  0.34467E+02  0.29322E-01  0.32594E+02  0.34747E+02  0.30914E-01  0.32609E+02
    5.5000   2.4680  17.6630  0.75033E+02  0.82095E+02  0.26711E-01  0.79821E+02  0.82085E+02  0.27269E-01  0.79476E+02
    6.6000   3.5680  13.3880  0.14134E+03  0.15062E+03  0.27573E-01  0.14766E+03  0.14991E+03  0.27907E-01  0.14648E+03
    8.8000   5.7680   9.1080  0.33988E+03  0.35125E+03  0.29974E-01  0.34625E+03  0.34737E+03  0.30143E-01  0.34149E+03
   11.0000   7.9680   6.9280  0.62814E+03  0.63636E+03  0.32126E-01  0.62850E+03  0.62638E+03  0.32259E-01  0.61700E+03
    5.5000   1.0000  34.1800  0.76189E+01  0.97717E+01  0.16729E-01  0.88171E+01  0.99620E+01  0.17926E-01  0.88801E+01
    6.6000   2.1000  21.3370  0.21066E+02  0.24079E+02  0.12607E-01  0.23267E+02  0.24200E+02  0.12818E-01  0.23280E+02
    7.7000   3.2000  15.9620  0.40540E+02  0.44558E+02  0.12608E-01  0.43720E+02  0.44528E+02  0.12687E-01  0.43577E+02
    8.8000   4.3000  12.8660  0.66417E+02  0.71412E+02  0.12962E-01  0.70479E+02  0.71105E+02  0.12968E-01  0.70044E+02
   11.0000   6.5000   9.3500  0.13818E+03  0.14455E+03  0.13822E-01  0.14331E+03  0.14319E+03  0.13746E-01  0.14177E+03
    4.4000   1.2030  30.8780  0.17137E+02  0.19955E+02  0.15092E-01  0.18774E+02  0.20102E+02  0.15998E-01  0.18757E+02
    5.5000   2.3030  19.8170  0.45842E+02  0.49952E+02  0.13138E-01  0.48633E+02  0.49841E+02  0.13401E-01  0.48333E+02
    6.6000   3.4030  14.8490  0.88495E+02  0.93702E+02  0.13548E-01  0.92057E+02  0.93032E+02  0.13692E-01  0.91139E+02
    8.8000   5.6030  10.0070  0.21769E+03  0.22323E+03  0.14621E-01  0.22055E+03  0.22018E+03  0.14647E-01  0.21705E+03
   11.0000   7.8030   7.5800  0.40699E+03  0.40891E+03  0.15658E-01  0.40477E+03  0.40141E+03  0.15645E-01  0.39651E+03
    5.5000   0.9170  38.1050  0.51308E+01  0.66047E+01  0.93541E-02  0.59282E+01  0.67271E+01  0.10096E-01  0.59604E+01
    6.6000   2.0170  23.1830  0.14834E+02  0.16803E+02  0.66636E-02  0.16270E+02  0.16841E+02  0.67793E-02  0.16239E+02
    7.7000   3.1170  17.2130  0.28945E+02  0.31485E+02  0.66216E-02  0.30956E+02  0.31371E+02  0.66584E-02  0.30772E+02
    8.8000   4.2170  13.8240  0.47771E+02  0.50813E+02  0.68246E-02  0.50236E+02  0.50442E+02  0.68240E-02  0.49788E+02
   11.0000   6.4170  10.0120  0.10012E+03  0.10361E+03  0.72782E-02  0.10286E+03  0.10231E+03  0.72326E-02  0.10145E+03
    4.4000   1.4930  27.6430  0.23724E+02  0.26360E+02  0.96589E-02  0.25291E+02  0.26350E+02  0.10078E-01  0.25133E+02
    5.5000   2.5930  18.6630  0.57314E+02  0.60801E+02  0.93314E-02  0.59480E+02  0.60331E+02  0.95173E-02  0.58816E+02
    6.6000   3.6930  14.2500  0.10601E+03  0.10980E+03  0.97094E-02  0.10806E+03  0.10846E+03  0.98206E-02  0.10644E+03
    8.8000   5.8930   9.7560  0.25048E+03  0.25194E+03  0.10568E-01  0.24897E+03  0.24727E+03  0.10618E-01  0.24378E+03
   11.0000   8.0930   7.4420  0.45892E+03  0.45269E+03  0.11430E-01  0.44800E+03  0.44219E+03  0.11487E-01  0.43660E+03
    5.5000   1.0430  36.9140  0.50972E+01  0.62469E+01  0.49229E-02  0.57616E+01  0.63171E+01  0.52272E-02  0.57684E+01
    6.6000   2.1430  23.2640  0.13769E+02  0.15253E+02  0.38894E-02  0.14862E+02  0.15222E+02  0.39506E-02  0.14781E+02
    7.7000   3.2430  17.4560  0.26280E+02  0.28101E+02  0.39009E-02  0.27706E+02  0.27893E+02  0.39176E-02  0.27446E+02
    8.8000   4.3430  14.0910  0.42868E+02  0.44906E+02  0.40398E-02  0.44471E+02  0.44415E+02  0.40380E-02  0.43921E+02
   11.0000   6.5430  10.2560  0.88745E+02  0.90555E+02  0.42988E-02  0.89982E+02  0.89099E+02  0.42664E-02  0.88442E+02
    4.4000   1.7360  25.6060  0.29876E+02  0.32224E+02  0.66934E-02  0.31201E+02  0.32036E+02  0.69442E-02  0.30868E+02
    5.5000   2.8360  17.8410  0.67593E+02  0.70280E+02  0.68043E-02  0.68913E+02  0.69426E+02  0.69490E-02  0.67850E+02
